,session,subject,parent_det_str,child_det_str,parent_indef_def_adj_nps
4035,1,27,the ball,,the ball
4037,1,27,the ball,,the ball
4043,1,27,the ball,,the ball
4051,1,27,the ball,,the ball
4058,1,27,the ball,,the ball
4074,1,27,the ball,,the ball
4089,1,27,the ball,,the ball
4098,1,27,the mouth,,the mouth
4099,1,27,the mouth,,the mouth
4103,1,27,the mouth,,the mouth
4110,1,27,a hug,,a hug
4116,1,27,the bunny,,the bunny
4118,1,27,the bunny,,the bunny
4119,1,27,the duck,,the duck
4120,1,27,the fish,,the fish
4121,1,27,the fish,,the fish
4122,1,27,the fish,,the fish
4123,1,27,the fish,,the fish
4124,1,27,the fish,,the fish
4125,1,27,the fish,,the fish
4129,1,27,the fish,,the fish
4130,1,27,the fish,,the fish
4133,1,27,the fish,,the fish
4135,1,27,the fish,,the fish
4137,1,27,the fish,,the fish
4138,1,27,the fish,,the fish
4139,1,27,the fish,,the fish
4141,1,27,the fish,,the fish
4144,1,27,the fish,,the fish
4145,1,27,the fish,,the fish
4147,1,27,the fish,,the fish
4150,1,27,the moon,,the moon
4157,1,27,the bunny,,the bunny
4162,1,27,the bluebird,,the bluebird
4163,1,27,the egg,,the egg
4164,1,27,the bluebird,,the bluebird
4169,1,27,a piece,,a piece
4173,1,27,the duck,,the duck
4174,1,27,the fish,,the fish
4175,1,27,the fish,,the fish
4176,1,27,the lake,,the lake
4182,1,27,the birdies,,the birdies
4184,1,27,a piece,,a piece
4188,1,27,a duck,,a duck
4189,1,27,the watermelon,,the watermelon
4192,1,27,the watermelon,,the watermelon
4193,1,27,the watermelon,,the watermelon
4211,1,27,the seahorse,,the seahorse
4212,1,27,the seahorse,,the seahorse
4217,1,27,the cover,,the cover
4221,1,27,the seahorse,,the seahorse
4237,1,27,the seahorse,,the seahorse
4250,1,27,a hug,,a hug
4251,1,27,a hug,,a hug
4254,1,27,a kiss,,a kiss
4255,1,27,a kiss,,a kiss
4270,1,27,a job,,a job
4280,1,27,a lot,,a lot
4283,1,27,the balloon,,the balloon
4285,1,27,a boy,,a boy
4286,1,27,a boy,,a boy
4287,1,27,a boy,,a boy
4289,1,27,the balloon,,the balloon
4294,1,27,the balloon,,the balloon
4295,1,27,the balloon,,the balloon
4308,1,27,a balloon,,a balloon
4311,1,27,the balloon,,the balloon
4312,1,27,the balloon,,the balloon
4334,1,27,the train,,the train
4335,1,27,the penguins,,the penguins
4336,1,27,the penguins,,the penguins
4337,1,27,the penguins,,the penguins
4339,1,27,the penguins,,the penguins
4341,1,27,the penguins,,the penguins
4344,1,27,the table,,the table
4348,1,27,the penguins,,the penguins
4353,1,27,the daddy,,the daddy
4356,1,27,the stairs,,the stairs
4357,1,27,the table,,the table
4363,1,27,the mommy,,the mommy
4379,1,27,the glass,,the glass
4382,1,27,the penguins,,the penguins
4388,1,27,the table,,the table
4393,1,27,the penguins,,the penguins
4394,1,27,the baby,,the baby
4396,1,27,the mommy,,the mommy
4397,1,27,the daddy,,the daddy
4405,1,27,a hug,,a hug
4413,1,27,the penguins,,the penguins
4418,1,27,the mouth,,the mouth
4426,1,27,the track,,the track
4431,1,27,the stairs,,the stairs
4432,1,27,the stairs,,the stairs
4437,1,27,the stairs,,the stairs
4438,1,27,the stairs,,the stairs
4450,1,27,the track,,the track
4452,1,27,the one,,the one
4453,1,27,the one,,the one
4454,1,27,the track,,the track
4465,1,27,the track,,the track
4467,1,27,the one,,the one
4469,1,27,the one,,the one
4474,1,27,the table,,the table
4481,1,27,a penguin,,a penguin
4482,1,27,a penguin,,a penguin
4494,1,27,the heart,,the heart
4497,1,27,the lights,,the lights
4501,1,27,a sheep,,a sheep
4502,1,27,a doggie,,a doggie
4508,1,27,the door,,the door
4509,1,27,the door,,the door
4519,1,27,the house,,the house
4524,1,27,the puppy,,the puppy
4542,1,27,a snake,,a snake
4545,1,27,a duck,,a duck
4546,1,27,a snake,,a snake
4552,1,27,the heart,,the heart
4554,1,27,the snake,,the snake
4561,1,27,the lights,,the lights
4562,1,27,the music,,the music
4564,1,27,a duck,,a duck
4572,1,27,the snake,,the snake
4573,1,27,the snake,,the snake
4576,1,27,the snake,,the snake
4577,1,27,the snake,,the snake
4579,1,27,the snake,,the snake
4580,1,27,a snake,,a snake
4588,1,27,the mirror,,the mirror
4593,1,27,the mirror,,the mirror
4598,1,27,the colors,,the colors
4606,1,27,a butterfly,,a butterfly
4617,1,27,the snake,,the snake
4618,1,27,the snake,,the snake
4619,1,27,a rattlesnake,,a rattlesnake
4620,1,27,a rattle,,a rattle
4627,1,27,the case,,the case
4629,1,27,a book,,a book
4638,1,27,the ground,,the ground
4639,1,27,the ground,,the ground
4643,1,27,the balls,,the balls
4644,1,27,the balls,,the balls
4645,1,27,the balls,,the balls
4663,1,27,the balls,,the balls
4667,1,27,a hug,,a hug
4675,1,27,the stars,,the stars
4679,1,27,the stars,,the stars
4680,1,27,the stick,,the stick
4681,1,27,the star,,the star
4684,1,27,the star,,the star
4685,1,27,the stick,,the stick
4686,1,27,the stick,,the stick
4687,1,27,the stick,,the stick
4688,1,27,the stick,,the stick
4697,1,27,the stick,,the stick
4699,1,27,the star,,the star
4701,1,27,the table,,the table
4702,1,27,the star,,the star
4710,1,27,the star,,the star
4713,1,27,the star,,the star
4715,1,27,the stick,,the stick
4716,1,27,the table,,the table
4718,1,27,the star,,the star
4725,1,27,the one,,the one
4732,1,27,the stick,,the stick
4733,1,27,the stars,,the stars
4734,1,27,the stars,,the stars
4735,1,27,the stars,,the stars
4745,1,27,the dragon,,the dragon
4746,1,27,the dragon,,the dragon
4749,1,27,the TV,,the TV
4753,1,27,the couch,,the couch
4754,1,27,the video,,the video
4761,1,27,the video,,the video
4766,1,27,a video,,a video
4768,1,27,a doggie,,a doggie
4770,1,27,a doggie,,a doggie
4772,1,27,a centipede,,a centipede
4777,1,27,the show,,the show
4779,1,27,the bear,,the bear
4781,1,27,the bear,,the bear
4782,1,27,the bear,,the bear
4791,1,27,the candles,,the candles
4796,1,27,the frogs,,the frogs
4798,1,27,a circle,,a circle
4807,1,27,the planets,,the planets
4821,1,27,the planets,,the planets
4823,1,27,a circle,,a circle
4824,1,27,a pendulum,,a pendulum
4830,1,27,the silver,,the silver
4837,1,27,the dragon,,the dragon
4841,1,27,a lemon,,a lemon
4842,1,27,a apple,,a apple
4846,1,27,the dragon,,the dragon
4848,1,27,a banana,,a banana
4853,1,27,the choo,,the choo
4856,1,27,a train,,a train
4863,1,27,the video,,the video
4868,1,27,a bear,,a bear
4871,1,27,the matter,,the matter
4875,1,27,a bunny,,a bunny
4876,1,27,a kitty,,a kitty
4878,1,27,a doggie,,a doggie
4879,1,27,a bone,,a bone
4881,1,27,the choo,,the choo
4883,1,27,a crossing,,a crossing
4884,1,27,the tree,,the tree
4885,1,27,the crossing,,the crossing
4886,1,27,the train,,the train
4891,1,27,the elephant,,the elephant
4897,1,27,the seals,,the seals
4898,1,27,the stairs,,the stairs
4904,1,27,the video,,the video
4907,1,27,the couch,,the couch
4908,1,27,the video,,the video
4924,1,27,a walk,,a walk
4934,1,27,the door,,the door
4936,1,27,the door,,the door
4949,1,27,the stairs,,the stairs
4958,1,27,a walk,,a walk
4961,1,27,the mouth,,the mouth
4967,1,27,a walk,,a walk
4970,1,27,a boy,,a boy
4979,1,27,a job,,a job
4993,1,27,the stairs,,the stairs
5007,1,27,the rest,,the rest
5017,1,27,a walk,,a walk
5018,1,27,the flowers,,the flowers
5019,1,27,the flowers,,the flowers
5038,1,27,the flowers,,the flowers
5040,1,27,the flowers,,the flowers
5053,1,27,the flowers,,the flowers
5054,1,27,the flowers,,the flowers
5068,1,27,the flowers,,the flowers
5074,1,27,the door,,the door
5077,1,27,the door,,the door
5081,1,27,the keys,,the keys
5082,1,27,the keys,,the keys
5084,1,27,the door,,the door
5088,1,27,the keys,,the keys
5095,1,27,the stairs,,the stairs
5118,1,27,the steps,,the steps
5120,1,27,a boo,,a boo
5122,1,27,a ham,,a ham
5132,1,27,the door,,the door
5139,1,27,the leash,,the leash
5147,1,27,a job,,a job
5152,1,27,a snack,,a snack
5176,1,27,the way,,the way
5186,1,27,the books,,the books
5188,1,27,the mouth,,the mouth
5192,1,27,the mouth,,the mouth
5195,1,27,the bears,,the bears
5211,1,27,the ball,,the ball
5217,1,27,a lion,,a lion
5229,1,27,the ball,,the ball
5242,1,27,the doctor,,the doctor
5243,1,27,the doctor,,the doctor
5246,1,27,the hippo,,the hippo
5249,1,27,the doctor,,the doctor
5252,1,27,the elephant,,the elephant
5253,1,27,the elephant,,the elephant
5255,1,27,the egg,,the egg
5257,1,27,the egg,,the egg
5262,1,27,the grapes,,the grapes
5263,1,27,the grapes,,the grapes
5265,1,27,the grapes,,the grapes
5266,1,27,the grapes,,the grapes
5272,1,27,the birdie,,the birdie
5273,1,27,the pineapple,,the pineapple
5274,1,27,the pineapple,,the pineapple
5276,1,27,a monkey,,a monkey
5277,1,27,a banana,,a banana
5278,1,27,the sandwich,,the sandwich
5279,1,27,the sandwich,,the sandwich
5282,1,27,the grapes,,the grapes
5287,1,27,a koala,,a koala
5288,1,27,the piano,,the piano
5292,1,27,the grapes,,the grapes
5293,1,27,the sandwich,,the sandwich
5294,1,27,a piece,,a piece
5296,1,27,the sandwich,,the sandwich
5297,1,27,a mouse,,a mouse
5298,1,27,a mouse,,a mouse
5299,1,27,the elephant,,the elephant
5300,1,27,the elephant,,the elephant
5303,1,27,the elephant,,the elephant
5304,1,27,the elephant,,the elephant
5305,1,27,the page,,the page
5325,1,27,the blocks,,the blocks
5326,1,27,the blocks,,the blocks
5329,1,27,the blocks,,the blocks
5333,1,27,the blocks,,the blocks
5334,1,27,a block,,a block
5336,1,27,a block,,a block
5343,1,27,the box,,the box
5344,1,27,the box,,the box
5346,1,27,a lot,,a lot
5353,1,27,the blocks,,the blocks
5355,1,27,the hole,,the hole
5359,1,27,the hole,,the hole
5361,1,27,the hole,,the hole
5362,1,27,the blocks,,the blocks
5367,1,27,the blocks,,the blocks
5370,1,27,the hole,,the hole
5378,1,27,the one,,the one
5382,1,27,the block,,the block
5384,1,27,the door,,the door
5385,1,27,the door,,the door
5386,1,27,the door,,the door
5387,1,27,the door,,the door
5388,1,27,the door,,the door
5389,1,27,the door,,the door
5391,1,27,the block,,the block
5404,1,27,the balls,,the balls
5408,1,27,the balls,,the balls
5413,1,27,the balls,,the balls
5414,1,27,the balls,,the balls
5436,1,27,the block,,the block
5450,1,27,the tube,,the tube
5461,1,27,the bump,,the bump
5462,1,27,the bump,,the bump
5469,1,27,a structure,,a structure
5471,1,27,the one,,the one
5478,1,27,the box,,the box
5480,1,27,the box,,the box
5484,1,28,a walk,,a walk
5496,1,28,the dolly,,the dolly
5497,1,28,the thing,,the thing
5498,1,28,a push,,a push
5499,1,28,a push,,a push
5500,1,28,a push,,a push
5501,1,28,a walk,,a walk
5502,1,28,a walk,,a walk
5505,1,28,the train,,the train
5531,1,28,the way,,the way
5546,1,28,the box,,the box
5547,1,28,the box,,the box
5550,1,28,the box,,the box
5552,1,28,the box,,the box
5558,1,28,the blocks,,the blocks
5560,1,28,the blocks,,the blocks
5571,1,28,the box,,the box
5575,1,28,the box,,the box
5582,1,28,the box,,the box
5587,1,28,the trains,,the trains
5588,1,28,the cars,,the cars
5589,1,28,the trains,,the trains
5590,1,28,the trains,,the trains
5592,1,28,the box,,the box
5593,1,28,the trains,,the trains
5595,1,28,the box,,the box
5598,1,28,the mouth,,the mouth
5603,1,28,the box,,the box
5604,1,28,the box,,the box
5623,1,28,the way,,the way
5626,1,28,the top,,the top
5628,1,28,the top,,the top
5654,1,28,the picture,,the picture
5665,1,28,the box,,the box
5676,1,28,a sound,,a sound
5677,1,28,a crinkle,,a crinkle
5682,1,28,a block,,a block
5688,1,28,the meat,,the meat
5699,1,28,the horse,,the horse
5700,1,28,the horsey,,the horsey
5703,1,28,the horsey,,the horsey
5704,1,28,the horsey,,the horsey
5705,1,28,the horsey,,the horsey
5709,1,28,the horsey,,the horsey
5722,1,28,a sound,,a sound
5723,1,28,the horsey,,the horsey
5745,1,28,a bit,,a bit
5746,1,28,a castle,,a castle
5752,1,28,a sound,,a sound
5753,1,28,the horsey,,the horsey
5764,1,28,the nail,,the nail
5769,1,28,the fence,,the fence
5770,1,28,the fence,,the fence
5779,1,28,the ball,,the ball
5781,1,28,the silvery,,the silvery
5825,1,28,the kitchen,,the kitchen
5852,1,28,the wheat,,the wheat
5857,1,28,the party,,the party
5867,1,28,the things,,the things
5881,1,28,the doggie,,the doggie
5884,1,28,the horsey,,the horsey
5900,1,28,a doll,,a doll
5906,1,28,the dolls,,the dolls
5907,1,28,the dolls,,the dolls
5916,1,28,the dollies,,the dollies
5918,1,28,the dollies,,the dollies
5933,1,28,the kitchen,,the kitchen
5937,1,28,the chair,,the chair
5938,1,28,the chair,,the chair
5942,1,28,a lift,,a lift
5955,1,28,the dollies,,the dollies
5971,1,28,the head,,the head
5974,1,28,the dollies,,the dollies
5975,1,28,a ride,,a ride
5987,1,28,the paper,,the paper
6011,1,28,a hole,,a hole
6016,1,28,the matter,,the matter
6024,1,28,the one,,the one
6026,1,28,the day,,the day
6045,1,28,a matter,,a matter
6057,1,28,a walk,,a walk
6058,1,28,the dollies,,the dollies
6082,1,28,a bottle,,a bottle
6084,1,28,the kitchen,,the kitchen
6089,1,28,the kitchen,,the kitchen
6106,1,28,the baby,,the baby
6107,1,28,the baby,,the baby
6108,1,28,a nail,,a nail
6126,1,28,the matter,,the matter
6127,1,28,the matter,,the matter
6128,1,28,a lot,,a lot
6129,1,28,a drink,,a drink
6155,1,28,the pipe,,the pipe
6160,1,28,the matter,,the matter
6167,1,28,a matter,,a matter
6193,1,28,the house,,the house
6203,1,28,a tissue,,a tissue
6210,1,28,a book,,a book
6213,1,28,a book,,a book
6215,1,28,a book,,a book
